source_document,source_page,source_section,rate_family,operation_type,cargo_type,classification,container_size_hint,amount_fcfa_per_tonne,unit,currency,cell_status,evidence_level,notes
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,IMPORT,CONTENEUR,T01,,19239,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,IMPORT,CONVENTIONNEL,T01,,16288,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,EXPORT,CONTENEUR,T01,,19003,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,EXPORT,CONVENTIONNEL,T01,,16288,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,IMPORT,CONTENEUR,T02,,9678,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,IMPORT,CONVENTIONNEL,T02,,8144,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,EXPORT,CONTENEUR,T02,,8852,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,EXPORT,CONVENTIONNEL,T02,,7672,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,IMPORT,CONTENEUR,T03,,1416,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,IMPORT,CONVENTIONNEL,T03,,673,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,EXPORT,CONTENEUR,T03,,1062,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,EXPORT,CONVENTIONNEL,T03,,354,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,IMPORT,CONTENEUR,T04,,3069,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,IMPORT,CONVENTIONNEL,T04,,2325,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,EXPORT,CONTENEUR,T04,,3010,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,EXPORT,CONVENTIONNEL,T04,,2325,PER_TONNE,XOF,PRESENT,OFFICIAL,
REDEVANCES PORTUAIRES 2006,7,2.1 DROITS DE PASSAGE IMPORT/EXPORT SENEGAL,DROIT_PASSAGE,IMPORT,CONTENEUR,T05,,1180,PER_TONNE,XOF,PRESENT,OFFICIAL,
